order_id,customer_id,order_date,region,status,qty,amount
O-001,C-01,2024-01-05,east,completed,2,2400
O-002,C-01,2024-01-06,east,cancelled,1,980
O-003,C-02,2024-01-06,west,completed,3,3600
O-004,C-02,2024-01-08,WEST,completed,,4800
O-005,C-03,2024-01-09,north,pending,1,1200
O-006,C-03,2024-01-11,north,completed,5,N/A
O-007,C-04,2024-01-12,south,completed,2,"2,400"
O-008,C-04,2024-01-12,south,completed,1,300
O-009,C-99,2024-01-13,east,completed,4,4800
O-010,,2024-01-14,west,pending,2,1960
O-011,C-01,2024-01-15,east,completed,0,0
O-012,C-02,,west,completed,1,780
