ts,path,status,dur
2026-01-05T00:12:03Z,/,200,1.2s
2026-01-05T00:12:44Z,/items,200,0.85s
2026-01-05T00:13:10Z,/items/1001,200,2.05s
2026-01-05T00:13:52Z,/cart,200,0.4s
2026-01-05T00:14:31Z,/checkout,302,0.11s
2026-01-05T00:15:02Z,/login,200,0.63s
2026-01-05T00:15:48Z,/api/search,-,7.5s
2026-01-05T00:16:20Z,/items/1002,404,0.09s
2026-01-05T00:17:05Z,/,200,1.35s
2026-01-05T00:17:41Z,/items,200,0.92s
2026-01-05T00:18:19Z,/api/search,500,3.2s
2026-01-05T00:19:00Z,/health,200,0.01s
2026-01-05T00:19:33Z,/cart,-,12.0s
2026-01-05T00:20:11Z,/checkout,200,1.87s
2026-01-05T00:20:55Z,/items/1003,200,0.78s
2026-01-05T00:21:30Z,/login,401,0.25s
2026-01-05T00:22:08Z,/,200,1.14s
2026-01-05T00:22:49Z,/api/search,200,2.6s
2026-01-05T00:23:27Z,/items,-,9.8s
2026-01-05T00:24:02Z,/health,200,0.02s
